"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.964326885E2,6.150293760E1,2.361076815E1,1.197709540E2,1.549999952E0,1.698999939E2,3.790092468E0,2.500000000E0
1.974330973E2,6.150292470E1,2.361077525E1,1.195209442E2,1.529999971E0,1.688999939E2,3.790092468E0,2.500000000E0
1.984332112E2,6.150291405E1,2.361078168E1,1.196088267E2,1.200000048E0,1.688999939E2,3.790092468E0,2.500000000E0
1.994327819E2,6.150290789E1,2.361078526E1,1.198513148E2,5.899999738E-1,1.686000061E2,3.790092468E0,2.500000000E0
2.004332911E2,6.150291000E1,2.361078623E1,1.198455792E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.014332188E2,6.150291222E1,2.361078612E1,1.198414915E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.024329783E2,6.150291307E1,2.361078669E1,1.195588995E2,1.800000072E-1,1.698999939E2,3.790092468E0,2.500000000E0
2.034328419E2,6.150290638E1,2.361079080E1,1.196063798E2,1.179999948E0,1.663999939E2,3.790092468E0,2.500000000E0
2.044326358E2,6.150289282E1,2.361079842E1,1.198528905E2,1.610000014E0,1.650000000E2,3.790092468E0,2.500000000E0
2.054328778E2,6.150287644E1,2.361080543E1,1.201582369E2,1.740000010E0,1.678000031E2,3.790092468E0,2.500000000E0
2.064330585E2,6.150285895E1,2.361081179E1,1.208247884E2,1.820000052E0,1.701000061E2,3.790092468E0,2.500000000E0
2.074324083E2,6.150284153E1,2.361081622E1,1.210689766E2,1.759999990E0,1.723999939E2,3.790092468E0,2.500000000E0
2.084327146E2,6.150282622E1,2.361082117E1,1.207517041E2,1.690000057E0,1.703999939E2,3.790092468E0,2.500000000E0
2.094325260E2,6.150281085E1,2.361082599E1,1.212674393E2,1.690000057E0,1.705000000E2,3.790092468E0,2.500000000E0
2.104331431E2,6.150279650E1,2.361083130E1,1.210442838E2,1.659999967E0,1.696000061E2,3.790092468E0,2.500000000E0
